id,time,temp,humi
1,1535644852,4.65,72.65
2,1535645152,3.84,69.95
3,1535645452,4.61,96.88
4,1535645751,5.00,79.39
5,1535646050,4.35,70.93
6,1535646349,3.79,86.70
7,1535646649,5.37,96.46
8,1535646949,4.78,73.61
9,1535647248,3.97,69.84
10,1535647547,4.39,96.04
11,1535647846,5.17,84.84
12,1535648145,4.48,71.26
13,1535648444,3.75,79.20
14,1535648744,5.17,97.81
15,1535649043,4.91,75.20
16,1535649342,4.18,70.29
17,1535649642,3.97,92.72
18,1535649941,5.37,93.43
19,1535650240,4.65,72.65
20,1535650539,3.84,69.95
21,1535650838,4.57,96.88
22,1535651137,5.04,79.81
23,1535651437,4.35,70.93
24,1535651737,3.75,85.28
25,1535652036,5.33,96.96
26,1535652335,4.78,73.94
27,1535652634,4.01,69.84
28,1535652934,4.31,95.36
29,1535653233,5.17,86.48
30,1535653532,4.52,71.36
31,1535653831,3.75,77.68
32,1535654131,5.08,97.81
33,1535654430,4.91,75.54
34,1535654729,4.18,70.29
35,1535655028,3.97,92.35
36,1535655327,5.37,93.70
37,1535655627,4.65,72.54
38,1535655926,3.88,69.95
39,1535656225,4.65,97.00
40,1535656524,5.04,79.04
41,1535656824,4.35,70.72
42,1535657123,3.79,87.14
43,1535657422,5.37,96.23
44,1535657721,4.78,73.40
45,1535658020,3.97,69.74
46,1535658320,4.39,96.16
47,1535658619,5.12,84.19
48,1535658918,4.48,71.26
49,1535659218,3.71,78.65
50,1535659517,5.12,97.81
51,1535659816,4.91,75.33
52,1535660115,4.18,70.18
53,1535660415,3.97,92.50
54,1535660714,5.37,93.70
55,1535661013,4.65,72.42
56,1535661313,3.84,69.84
57,1535661612,4.74,97.11
58,1535661911,4.95,77.61
59,1535662210,4.27,70.39
60,1535662509,3.84,89.71
61,1535662809,5.42,95.27
62,1535663108,4.74,72.86
63,1535663408,3.88,69.54
64,1535663707,4.61,96.88
65,1535664006,5.04,79.81
66,1535664305,4.39,70.82
67,1535664605,3.79,85.83
68,1535664904,5.37,96.70
69,1535665203,4.82,73.94
70,1535665502,4.05,70.18
71,1535665801,4.22,95.13
72,1535666100,5.21,88.90
73,1535666400,4.52,71.46
74,1535666699,3.75,77.57
75,1535666998,5.08,97.81
76,1535667298,4.87,75.10
77,1535667597,4.14,70.18
78,1535667897,4.09,93.91
79,1535668196,5.33,92.24
80,1535668495,4.57,71.67
81,1535668794,3.75,75.50
82,1535669093,5.00,97.49
83,1535669392,4.91,76.08
84,1535669692,4.22,69.95
85,1535669991,3.92,92.11
86,1535670290,5.37,94.17
87,1535670589,4.65,72.54
88,1535670889,3.84,69.84
89,1535671188,4.74,97.11
90,1535671487,5.00,78.03
91,1535671786,4.35,73.06
92,1535672086,8.60,102.81
93,1535672384,7.53,80.60
94,1535672685,6.37,72.30
95,1535672984,5.24,70.43
96,1535673283,4.27,69.74
97,1535673582,4.35,93.33
98,1535673881,5.28,90.44
99,1535674180,4.78,72.42
100,1535674479,4.35,87.25
101,1535674779,5.55,94.43
102,1535675078,5.00,73.20
103,1535675377,4.39,81.08
104,1535675677,5.51,96.00
105,1535675976,5.08,74.38
106,1535676275,4.44,73.94
107,1535676574,5.28,96.96
108,1535676873,5.17,75.68
109,1535677173,4.52,70.82
110,1535677472,5.08,96.46
111,1535677771,5.21,77.41
112,1535678071,4.61,70.61
113,1535678370,4.87,95.43
114,1535678669,5.28,80.04
115,1535678968,4.69,71.36
116,1535679267,4.69,93.98
117,1535679566,5.37,84.63
118,1535679866,4.78,71.80
119,1535680165,4.57,92.30
120,1535680465,5.47,90.79
121,1535680764,4.87,71.90
122,1535681063,4.48,89.54
123,1535681362,5.51,93.21
124,1535681662,4.95,72.96
125,1535681961,4.35,83.92
126,1535682260,5.55,95.27
127,1535682559,5.04,74.18
128,1535682859,4.39,77.16
129,1535683158,5.42,96.84
130,1535683457,5.12,75.24
131,1535683756,4.48,70.61
132,1535684055,5.24,96.96
133,1535684354,5.17,75.99
134,1535684654,5.98,94.72
135,1535684953,9.16,90.04
136,1535685252,7.74,72.45
137,1535685551,6.54,69.70
138,1535685851,5.42,69.25
139,1535686150,4.57,69.23
140,1535686449,3.97,77.99
141,1535686748,5.24,97.07
142,1535687047,5.17,74.70
143,1535687346,4.61,70.18
144,1535687646,4.01,78.23
145,1535687945,5.28,97.07
146,1535688245,5.08,74.83
147,1535688544,4.48,69.87
148,1535688843,4.05,87.56
149,1535689143,5.42,94.43
150,1535689442,4.95,73.29
151,1535689741,4.31,69.74
152,1535690040,4.39,94.36
153,1535690339,5.24,85.19
154,1535690639,4.78,71.46
155,1535690938,4.05,70.93
156,1535691237,4.95,96.88
157,1535691536,7.74,102.51
158,1535691835,7.91,73.73
159,1535692135,6.79,69.70
160,1535692434,5.68,68.81
161,1535692733,4.74,68.91
162,1535693032,4.01,73.90
163,1535693332,5.04,96.70
164,1535693631,5.24,77.10
165,1535693930,4.74,70.93
166,1535694230,4.05,69.64
167,1535694529,4.57,95.81
168,1535694828,5.24,82.45
169,1535695127,4.78,71.46
170,1535695426,4.05,69.64
171,1535695725,4.57,95.81
172,1535696024,5.24,83.87
173,1535696324,4.78,71.57
174,1535696623,4.05,69.54
175,1535696922,4.65,96.16
176,1535697222,5.21,81.23
177,1535697521,4.74,71.67
178,1535697820,4.01,69.84
179,1535698119,4.61,96.04
180,1535698419,5.21,82.45
181,1535698718,4.74,71.90
182,1535699017,4.05,70.18
183,1535699316,4.57,95.92
184,1535699615,5.24,83.00
185,1535699915,4.74,71.80
186,1535700214,4.05,69.95
187,1535700513,4.61,96.16
188,1535700812,5.21,82.65
189,1535701112,4.74,72.00
190,1535701411,4.05,69.74
191,1535701710,4.52,95.92
192,1535702009,6.83,86.94
193,1535702308,6.15,72.16
194,1535702607,5.24,70.00
195,1535702906,4.95,74.25
196,1535703206,4.27,70.29
197,1535703506,3.97,88.87
198,1535703805,5.47,94.66
199,1535704104,4.95,74.04
200,1535704403,4.31,70.59
201,1535704703,3.84,85.18
202,1535705002,5.37,96.11
203,1535705301,4.95,74.15
204,1535705600,4.31,70.18
205,1535705900,3.92,88.87
206,1535706199,5.47,95.01
207,1535706498,4.91,73.94
208,1535706797,4.18,69.74
209,1535707096,4.18,93.56
210,1535707396,5.33,91.52
211,1535707695,4.74,72.65
212,1535707994,4.01,70.05
213,1535708293,4.35,94.94
214,1535708592,5.33,91.02
215,1535708892,4.74,72.42
216,1535709191,3.97,69.95
217,1535709490,4.57,96.27
218,1535709790,5.12,81.68
219,1535710089,4.57,71.46
220,1535710388,3.84,77.89
221,1535710687,5.12,97.42
222,1535710986,5.00,76.23
223,1535711285,4.35,70.82
224,1535711585,3.84,85.83
225,1535711884,5.37,96.35
226,1535712183,4.91,74.45
227,1535712482,4.22,70.49
228,1535712781,4.05,92.35
229,1535713080,5.42,93.43
